Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
1,10,0,14,0,0,1,-1.8001207679202624,12,1.2876385150708833,1
0,9,0,25,1,1,0,-0.2307135964966979,11,0.7696362517221461,0
1,15,0,26,0,0,1,0.40830137345259293,8,-0.5541473101690712,1
0,14,0,14,0,0,1,0.45479063805332964,5,-1.4750402227890484,1
0,5,0,22,0,1,1,-0.5051580541005247,11,-1.1872611875953054,1
1,34,0,22,0,2,1,0.5476477853628952,8,0.9307925114306421,1
1,11,0,23,0,1,1,1.6409951767235633,8,-0.40450221186832486,0
0,21,0,14,0,0,1,0.8206356602638268,5,-1.1066830577410576,1
0,23,0,14,0,0,1,0.6834741224078674,5,-0.0706785310435831,1
1,27,0,22,0,0,1,0.17166737517808586,5,1.299149676478633,1
0,18,0,22,0,0,1,2.19850220625668,14,0.009899598810664913,1
0,28,0,6,0,0,1,-0.08347736161238034,5,-1.3829509315270507,0
0,36,0,12,0,0,1,-1.8001207679202624,8,-0.8649486681783134,1
0,43,0,14,1,0,0,0.03213889042992179,2,-1.5556183526432963,0
0,28,0,15,0,0,1,1.5246506333298135,8,-1.1527277033720564,1
0,19,0,3,0,0,1,0.196975499640889,0,1.2876385150708833,1
1,12,0,14,0,0,1,0.047979227323906484,9,0.14803353570366148,1
0,0,0,24,0,1,1,-0.3930011859775986,15,-0.33543524342182657,0
1,37,0,16,0,0,1,-1.8001207679202624,13,1.621462195895625,1
0,3,0,9,0,1,1,0.2807896960033138,11,0.735102767498897,1
0,8,0,14,0,0,1,0.8859998090562465,8,-0.5886807943923202,1
1,42,0,25,0,0,1,-0.4245604778736601,5,-1.6361964824975443,0
0,2,0,14,0,1,1,0.5102014717092991,11,1.4718170975948788,1
1,38,0,3,0,0,1,1.174706638959255,8,-1.6822411281285432,0
1,24,0,14,0,2,1,2.4964340599446913,5,-0.1397454994900814,1
1,6,0,18,1,1,0,0.10982330125099618,11,-1.3714397701193008,0
1,19,0,16,0,0,1,-0.13737092161950068,5,-0.024633885412584235,1
0,38,0,14,0,0,1,1.2338196203184162,5,1.379727806332881,1
1,21,0,14,0,2,1,-1.8001207679202624,6,-0.6692589242465683,1
1,22,0,4,0,0,1,0.026251868672387244,8,1.5639063888568765,0
0,3,0,20,0,1,0,0.07620051719249991,11,-1.5671295140510462,0
0,14,0,5,1,0,0,-0.33868278934880053,11,0.03292192162616434,0
1,20,0,14,0,2,1,0.963562837985413,16,-0.8879709909938128,1
1,40,0,14,0,2,1,1.2334554746426925,5,-0.6922812470620677,1
0,22,0,6,0,0,1,-1.8001207679202624,5,-1.4750402227890484,1
1,18,0,23,0,0,1,0.6692117501086857,5,1.299149676478633,0
1,2,0,19,1,1,0,-1.8001207679202624,11,0.0674554058494135,0
1,19,0,14,0,0,1,-0.2961991271810254,5,-1.290861640265053,1
1,31,0,13,0,0,1,-1.8001207679202624,5,0.9307925114306421,0
1,26,0,14,0,0,1,0.17785785166539023,5,0.6315023148291495,1
1,30,0,14,0,0,1,0.20777848802069468,4,1.0113706412848902,1
0,4,0,25,0,1,1,-0.3346164959698849,11,1.4718170975948788,1
1,17,0,14,0,0,1,0.1586795127439375,8,-0.3469464048295763,1
1,44,0,14,0,2,1,0.6640530197025988,5,-0.9455267980325615,1
1,20,0,10,0,0,1,-0.11722152756278452,5,-1.4405067385657992,1
0,25,0,4,0,0,1,0.04209220556637194,5,0.9883483184693908,1
1,16,0,6,0,2,1,-0.4856762604493022,0,0.09047772866491292,1
1,29,0,4,0,0,1,0.83920708972574,5,0.7926585745376455,1
1,29,0,0,1,0,0,-1.8001207679202624,5,-0.8994821524015626,0
1,15,0,3,0,0,1,1.8259811799912467,8,-0.3469464048295763,1
0,6,0,14,1,1,0,-0.1584913708114803,11,-1.1181942191488072,0
0,32,0,14,0,0,1,-0.08566223566672306,13,0.40127908667415524,0
1,35,0,14,0,0,1,2.5583995157636887,8,-1.164238864779806,1
1,41,0,27,0,0,1,-1.8001207679202624,5,-1.0261049278868095,0
0,30,0,14,0,2,1,1.2651968393766158,5,-0.7728593769163157,0
0,11,0,2,0,1,1,-0.6253261270893742,12,-1.2678393174495535,1
1,7,0,19,1,1,0,0.7631006434994686,11,1.621462195895625,0
1,26,0,28,1,0,0,1.1619008493629686,1,0.25163398837340895,0
1,5,0,25,1,1,0,-0.27556420555667754,11,1.5523952274491268,0
