,Age,Annual_Premium,Vintage
2670,-2.1139202574682576,-2.4889373297134165,-2.0885094956731516
2190,-2.085528378499407,-2.4696791924516814,-2.1075435170318384
854,-2.1265708834896353,-2.4631939465065686,-2.079035471498517
4804,-2.1557012195321574,-2.4605387580442537,-2.1026749128784568
3879,-2.102904797196948,-2.456220482253225,-2.158706878528883
1284,-2.077060443553136,-2.4433110783487537,-2.0871591468374655
4846,-2.339192107322954,-2.4335524300348377,-2.1250193910046304
2822,-2.108208242346419,-2.4186393416229164,-2.1828825328262083
3729,-2.191961112166097,-2.410220562163709,-2.0814767548451103
5746,-2.1822942578411313,-2.3917385940603983,-2.1178834951179892
2460,-2.132723162051314,-2.3913795211296422,-2.1372428805359194
1963,-2.1265708834896353,-2.3909907480562547,-2.0718821840003416
4342,-2.38498949317441,-2.38686319139254,-2.07679662801785
2236,-2.3247243023123056,-2.374929638739329,-2.1690915816705383
3686,-2.1194151825236576,-2.370485501042329,-2.1690915816705383
1064,-2.0751594205352744,-2.3688669063176055,-2.081789319638692
1600,-2.339192107322954,-2.3679727461255142,-2.0757347759156923
3658,-2.0823015427077722,-2.3676125701643107,-2.152520643581693
3385,-2.296986535885323,-2.365843622186765,-2.109590930813769
2059,-2.3247243023123056,-2.3653125135347333,-2.108143881945206
1919,-2.0825084208381712,-2.3632070657446187,-2.1690915816705383
5786,-2.0796517854979326,-2.3613512726487427,-2.1987169178430443
4407,-2.0735232612671703,-2.359032573572816,-2.159348793650392
536,-2.0931936280054435,-2.3542675594655504,-2.1065412331790982
4061,-2.354059001162933,-2.3487598730897608,-2.0755405218688514
3129,-2.0931936280054435,-2.3480072263714566,-2.0784122882244267
2489,-2.1139202574682576,-2.34781225881241,-2.089494447165431
3398,-2.1265708834896353,-2.3469913475786894,-2.093220666050681
4186,-2.0825084208381712,-2.3427114774169526,-2.093685491723039
5733,-2.0751594205352744,-2.3417189252057424,-2.1345383537448077
1057,-2.4175146794609335,-2.341512367044035,-2.1717655086760788
4141,-2.3247243023123056,-2.337957952880992,-2.180391808682818
102,-2.13350993876291,-2.3370968407666846,-2.0718734396568665
292,-2.073437450045076,-2.335487622918582,-2.0797739298623563
1192,-2.1139202574682576,-2.3350792603526864,-2.083450766891313
2309,-2.0714699221744732,-2.335011229904345,-2.1008274388086017
5006,-2.2346365276931826,-2.3335438629097505,-2.086770476391684
4993,-2.0710523185687153,-2.332811678055145,-2.07409850943412
5351,-2.13350993876291,-2.3319722534599494,-2.1839424219999133
472,-2.102473005953386,-2.3305941303701934,-2.1651218257732756
5196,-2.073437450045076,-2.3305941303701934,-2.1516228763729535
4416,-2.1139202574682576,-2.3291926555481526,-2.138055526325922
4139,-2.2020289340801282,-2.3286815026419196,-2.0797739298623563
4504,-2.0735232612671703,-2.328332051517539,-2.180391808682818
1427,-2.102904797196948,-2.3282380080974354,-2.0995611845213746
319,-2.0710404781642575,-2.3259726269986016,-2.0921352408380267
5861,-2.339192107322954,-2.324450027301075,-2.2144068435579713
90,-2.0796517854979326,-2.323610501061668,-2.1414068355065288
2453,-2.102904797196948,-2.322015165776768,-2.2184723870764307
5162,-2.13350993876291,-2.3216436308556796,-2.1051544450411575
3250,-2.1077175080663837,-2.3194728925434758,-2.149513286134579
493,-2.085528378499407,-2.3180484149453138,-2.1149594114499672
1194,-2.102473005953386,-2.3173113704448136,-2.204493351196029
151,-2.108208242346419,-2.31653600391314,-2.0775759067502806
5250,-2.089159139414817,-2.3156569493395915,-2.0858659099034247
5337,-2.0710523185687153,-2.3144000895137298,-2.189375594815039
667,-2.0751594205352744,-2.3138773299894746,-2.0995611845213746
473,-2.089159139414817,-2.3133551187447763,-2.0755405218688514
468,-2.1139202574682576,-2.309365400049132,-2.197588597075163
4216,-2.1200410638797687,-2.305472173480836,-2.154045761788601
5476,-2.2837168691366907,-2.3048177928081417,-2.0719389812176923
2420,-2.102904797196948,-2.3043564137008845,-2.0952928606617496
3818,-2.0710404781642575,-2.303972270381533,-2.1957002868334667
1506,-2.270846880486604,-2.3031026873946834,-2.083450766891313
162,-2.108208242346419,-2.302757851309221,-2.150120569431185
2621,-2.1265708834896353,-2.3024642991037068,-2.0734045979711544
4185,-2.132723162051314,-2.3021071758905753,-2.1471588293820334
2744,-2.1139202574682576,-2.3002874866843888,-2.0749208925583966
2039,-2.0825084208381712,-2.294857914001942,-2.07409850943412
5292,-2.089159139414817,-2.2946320113891376,-2.1618857616722797
4182,-2.132723162051314,-2.2945065579182957,-2.1149594114499672
3123,-2.258376723232815,-2.2921169753236734,-2.1625392121557914
3165,-2.339192107322954,-2.2899633800108274,-2.094008745501406
1347,-2.108208242346419,-2.2890577148366384,-2.191215254811106
2124,-2.0750465822331217,-2.288178614448136,-2.124291740822744
126,-2.296986535885323,-2.288067302571375,-2.151009818478646
5109,-2.108208242346419,-2.287387666535113,-2.097811013735053
181,-2.2346365276931826,-2.286265454609123,-2.0765770279789466
1093,-2.0735232612671703,-2.28440958488994,-2.0736216272471895
5497,-2.077060443553136,-2.283564139860448,-2.0961179648707224
2932,-2.1265708834896353,-2.2808429186092676,-2.073852931052513
1267,-2.2346365276931826,-2.2798708498349916,-2.1776036970602677
1719,-2.093522734717049,-2.276654493919991,-2.193069216692259
402,-2.2233668074848323,-2.2761007416061494,-2.1326696118561115
1304,-2.1730285420037605,-2.2761007416061494,-2.081789319638692
1617,-2.13350993876291,-2.274240176398181,-2.119037096655995
3102,-2.1077175080663837,-2.273020297028677,-2.1811086227985106
3437,-2.139980551999801,-2.2728650784227655,-2.081789319638692
5775,-2.1476399647288504,-2.271958805804762,-2.0781588886090328
2885,-2.1258679774378892,-2.2693583819550343,-2.084274943482952
3608,-2.1476399647288504,-2.2683180929258127,-2.0956277414479265
1887,-2.071434191771389,-2.2648852419423067,-2.0724021851950676
3694,-2.077060443553136,-2.264101689654699,-2.0807530718483553
5149,-2.1265708834896353,-2.260924915014658,-2.0871591468374655
4817,-2.0750465822331217,-2.2598254358890317,-2.139437728646553
2865,-2.108208242346419,-2.2581072209163837,-2.1786379513827816
2127,-2.0857723126783307,-2.2576587434713042,-2.0750982508347535
1476,-2.077060443553136,-2.255115802966947,-2.2193040262840187
1394,-2.2346365276931826,-2.2521703917804823,-2.0814767548451103
3856,-2.1139202574682576,-2.2496303025147677,-2.1386165765836482
3093,-2.079478830948788,-2.2494390898119034,-2.119511299275204
981,-2.0735232612671703,-2.2491468384840685,-2.1793490110059173
256,-2.258376723232815,-2.2486752297162367,-2.07679662801785
3434,-2.113364963443682,-2.2479801505621007,-2.0781588886090328
2550,-2.1139202574682576,-2.2477338263287505,-2.086125177470641
1018,-2.140858452685774,-2.247431746084435,-2.1287802069423654
4851,-2.2020289340801282,-2.246683219066216,-2.150120569431185
2785,-2.077060443553136,-2.2463374064020067,-2.154670365754062
983,-2.132723162051314,-2.245824872151613,-2.1305887223476825
1097,-2.1265708834896353,-2.2452463590985987,-2.0995611845213746
2094,-2.108208242346419,-2.244169687105024,-2.0724781886696357
4445,-2.089159139414817,-2.2427207445592154,-2.0871591468374655
1975,-2.1194151825236576,-2.242632450125334,-2.0750982508347535
1422,-2.102904797196948,-2.242632450125334,-2.1577750247180907
1023,-2.1265708834896353,-2.2426214148636836,-2.0956277414479265
5165,-2.339192107322954,-2.2423566714326357,-2.086770476391684
588,-2.4010528166086624,-2.2421031442720354,-2.0809599462051755
2434,-2.1200410638797687,-2.241805756834734,-2.07209368212641
5316,-2.0750465822331217,-2.241442622693307,-2.105553231054693
1282,-2.1194151825236576,-2.2414316244563386,-2.0793057732502644
887,-2.113364963443682,-2.2392716578489944,-2.083112838461413
5396,-2.2837168691366907,-2.2392388678034587,-2.149513286134579
3685,-2.0825084208381712,-2.2386491745949657,-2.1237943596647932
5983,-2.0823015427077722,-2.23785358590881,-2.1255225646987332
5576,-2.093522734717049,-2.2367341503548266,-2.189375594815039
5473,-2.102473005953386,-2.236571429162665,-2.1422450039397694
2679,-2.071434191771389,-2.2363329109457117,-2.116744178727463
1903,-2.270846880486604,-2.235456160352716,-2.107133120400257
4684,-2.102473005953386,-2.2340644975007296,-2.076074451268936
3534,-2.2233668074848323,-2.2326249352895813,-2.1428233989997247
4668,-2.1730285420037605,-2.2315973920369467,-2.1625392121557914
5635,-2.079478830948788,-2.231202203290656,-2.087430052675333
637,-2.1265708834896353,-2.2310527948067103,-2.1987169178430443
324,-2.2346365276931826,-2.230946115601397,-2.08524070801463
5343,-2.0751594205352744,-2.2303174061373197,-2.1811086227985106
621,-2.0710523185687153,-2.2295942722173576,-2.2164324615393136
5023,-2.085528378499407,-2.229116599381279,-2.154670365754062
2413,-2.108208242346419,-2.227603269725747,-2.1957002868334667
17,-2.1265708834896353,-2.226286171730579,-2.199491209180743
2585,-2.1258679774378892,-2.2255404455796333,-2.1811086227985106
1914,-2.102904797196948,-2.223866271739193,-2.0846297836458314
5544,-2.1265708834896353,-2.223251135101557,-2.081789319638692
4888,-2.073437450045076,-2.222065946839675,-2.104579510439657
279,-2.102473005953386,-2.2218999611915917,-2.185739178820076
2032,-2.0894436780309738,-2.2218584784935915,-2.1183519010522263
99,-2.191961112166097,-2.2212782967108113,-2.1968200477853985
797,-2.212497554757923,-2.220823193869104,-2.2193040262840187
2773,-2.1265708834896353,-2.220368754789157,-2.07209368212641
2031,-2.1139202574682576,-2.2198737600846608,-2.1618857616722797
4482,-2.108208242346419,-2.2198634560946973,-2.185739178820076
5289,-2.1641641375892045,-2.2170837111166746,-2.1102082539411056
2826,-2.212497554757923,-2.216278119542392,-2.143670077555778
3569,-2.0751594205352744,-2.2160134561392644,-2.185739178820076
4720,-2.0750465822331217,-2.215352811635962,-2.193069216692259
2308,-2.0714699221744732,-2.215312203904138,-2.073756750771465
3208,-2.0931936280054435,-2.2149773994323985,-2.0723526349167978
3069,-2.1265708834896353,-2.214663226257831,-2.071864995004577
48,-2.0722332513491457,-2.21379337399462,-2.07209368212641
5108,-2.4175146794609335,-2.212905917554809,-2.07885189274072
590,-2.0823015427077722,-2.212362656546458,-2.1287802069423654
123,-2.102904797196948,-2.2123124051735106,-2.156215548867679
3801,-2.071434191771389,-2.212242067651542,-2.209218812417009
5244,-2.1822942578411313,-2.2120411958764867,-2.0745188260702134
3458,-2.102473005953386,-2.2113392246840595,-2.0735312752395307
5834,-2.270846880486604,-2.210818847935042,-2.204493351196029
3924,-2.0976316483219035,-2.210499076899917,-2.0719931633697266
106,-2.102904797196948,-2.2090147663918094,-2.2006280914766903
2030,-2.0710404781642575,-2.2089054881438743,-2.138055526325922
4584,-2.0722332513491457,-2.208746612024597,-2.119037096655995
1993,-2.0894436780309738,-2.2085679813079517,-2.2225951626484237
2137,-2.0750465822331217,-2.207666604248895,-2.157138878909472
4323,-2.0976316483219035,-2.2074095894493313,-2.199491209180743
4010,-2.140858452685774,-2.207221917518365,-2.1690915816705383
2193,-2.0710404781642575,-2.20674835028973,-2.089494447165431
4021,-2.2020289340801282,-2.205616975687051,-2.073852931052513
1920,-2.0931936280054435,-2.204773867678811,-2.0720193962639195
5398,-2.0772021904914224,-2.2041383175257705,-2.1428233989997247
303,-2.270846880486604,-2.2037576827796093,-2.104186530766584
5198,-2.132723162051314,-2.2027354890471225,-2.08232885851831
4498,-2.0710404781642575,-2.20146548082758,-2.073852931052513
3105,-2.071434191771389,-2.2005481632684925,-2.0797739298623563
3791,-2.077060443553136,-2.1991731936764447,-2.105553231054693
1322,-2.0750465822331217,-2.198521821787552,-2.101744035510566
591,-2.079478830948788,-2.198512254618282,-2.1085600828350453
187,-2.113364963443682,-2.198177619714797,-2.204493351196029
2015,-2.1557012195321574,-2.1980534337287922,-2.199491209180743
4352,-2.1822942578411313,-2.198034333335653,-2.1700831426753266
4974,-2.1258679774378892,-2.1979188878576865,-2.0733200743932665
1750,-2.1139202574682576,-2.1979188878576865,-2.1465630983586097
1860,-2.0735232612671703,-2.1979188878576865,-2.188290056245161
1733,-2.0931936280054435,-2.1979188878576865,-2.072839156894843
1734,-2.139980551999801,-2.1979188878576865,-2.075223569782948
1843,-2.0735232612671703,-2.1979188878576865,-2.154670365754062
3325,-2.0976316483219035,-2.1979188878576865,-2.0961179648707224
1536,-2.113364963443682,-2.1979188878576865,-2.1305887223476825
3274,-2.3247243023123056,-2.1979188878576865,-2.076428401940805
4844,-2.0980097013296524,-2.1979188878576865,-2.090942099712458
1534,-2.071434191771389,-2.1979188878576865,-2.1280270705372244
4948,-2.0722332513491457,-2.1979188878576865,-2.079035471498517
1598,-2.0750465822331217,-2.1979188878576865,-2.087430052675333
4790,-2.0796517854979326,-2.1979188878576865,-2.154045761788601
4838,-2.0722332513491457,-2.1979188878576865,-2.1811086227985106
1732,-2.1139202574682576,-2.1979188878576865,-2.0846297836458314
1769,-2.258376723232815,-2.1979188878576865,-2.086770476391684
1727,-2.132723162051314,-2.1979188878576865,-2.1202049836080628
1863,-2.1265708834896353,-2.1979188878576865,-2.1577750247180907
3275,-2.0823015427077722,-2.1979188878576865,-2.0719931633697266
3814,-2.0751594205352744,-2.1979188878576865,-2.1422450039397694
1845,-2.2346365276931826,-2.1979188878576865,-2.143670077555778
4956,-2.0894436780309738,-2.1979188878576865,-2.0840331366520113
4858,-2.0857723126783307,-2.1979188878576865,-2.122583614837878
1852,-2.0823015427077722,-2.1979188878576865,-2.1287802069423654
4854,-2.1730285420037605,-2.1979188878576865,-2.0762172508952004
1547,-2.0931936280054435,-2.1979188878576865,-2.1717655086760788
1551,-2.079478830948788,-2.1979188878576865,-2.1451094422523225
4964,-2.0976316483219035,-2.1979188878576865,-2.215227023964519
3321,-2.13350993876291,-2.1979188878576865,-2.072772119444214
1559,-2.0772021904914224,-2.1979188878576865,-2.103620071118482
4961,-2.085528378499407,-2.1979188878576865,-2.0718821840003416
1565,-2.102904797196948,-2.1979188878576865,-2.1516228763729535
1568,-2.1822942578411313,-2.1979188878576865,-2.094811103908053
1587,-2.071434191771389,-2.1979188878576865,-2.1480310462075556
1762,-2.13350993876291,-2.1979188878576865,-2.16676130160124
1604,-2.089159139414817,-2.1979188878576865,-2.1160759573920727
1848,-2.191961112166097,-2.1979188878576865,-2.101744035510566
1569,-2.077060443553136,-2.1979188878576865,-2.083112838461413
1756,-2.102904797196948,-2.1979188878576865,-2.073756750771465
3810,-2.085528378499407,-2.1979188878576865,-2.1864732491538748
1541,-2.139980551999801,-2.1979188878576865,-2.0777420104411854
3315,-2.0796517854979326,-2.1979188878576865,-2.1987169178430443
1740,-2.0714699221744732,-2.1979188878576865,-2.126258709139809
4785,-2.0750465822331217,-2.1979188878576865,-2.0721443505078474
4857,-2.0980097013296524,-2.1979188878576865,-2.0865053894605223
1542,-2.0825084208381712,-2.1979188878576865,-2.0952928606617496
3286,-2.2020289340801282,-2.1979188878576865,-2.2144068435579713
4829,-2.077060443553136,-2.1979188878576865,-2.1202049836080628
1771,-2.0772021904914224,-2.1979188878576865,-2.090211134379458
1821,-2.0714699221744732,-2.1979188878576865,-2.084274943482952
1759,-2.0722332513491457,-2.1979188878576865,-2.1811086227985106
1659,-2.108208242346419,-2.1979188878576865,-2.0726180168329202
4912,-2.1641641375892045,-2.1979188878576865,-2.0814767548451103
4830,-2.1200410638797687,-2.1979188878576865,-2.1451094422523225
3829,-2.102904797196948,-2.1979188878576865,-2.1651218257732756
1819,-2.0976316483219035,-2.1979188878576865,-2.1218729497925457
1661,-2.108208242346419,-2.1979188878576865,-2.1326696118561115
3281,-2.1194151825236576,-2.1979188878576865,-2.088792037912481
4899,-2.1200410638797687,-2.1979188878576865,-2.084274943482952
1676,-2.1557012195321574,-2.1979188878576865,-2.1451094422523225
1707,-2.102904797196948,-2.1979188878576865,-2.0723526349167978
4820,-2.1476399647288504,-2.1979188878576865,-2.104186530766584
1679,-2.073437450045076,-2.1979188878576865,-2.0718620802217584
3614,-2.089159139414817,-2.1979188878576865,-2.0757347759156923
1683,-2.1139202574682576,-2.1979188878576865,-2.211207244597394
1806,-2.073437450045076,-2.1979188878576865,-2.1602891726630906
3833,-2.296986535885323,-2.1979188878576865,-2.1724535384710864
1706,-2.1200410638797687,-2.1979188878576865,-2.0956277414479265
1684,-2.0772021904914224,-2.1979188878576865,-2.101744035510566
3279,-2.108208242346419,-2.1979188878576865,-2.173462172160751
3280,-2.1265708834896353,-2.1979188878576865,-2.1112618648715467
4879,-2.0931936280054435,-2.1979188878576865,-2.156215548867679
4881,-2.13350993876291,-2.1979188878576865,-2.127512314356138
1793,-2.0976316483219035,-2.1979188878576865,-2.197588597075163
1686,-2.13350993876291,-2.1979188878576865,-2.119037096655995
4892,-2.270846880486604,-2.1979188878576865,-2.1061366415095355
4887,-2.13350993876291,-2.1979188878576865,-2.180391808682818
4889,-2.0735232612671703,-2.1979188878576865,-2.1751731335143
4831,-2.0980097013296524,-2.1979188878576865,-2.1051544450411575
3304,-2.1200410638797687,-2.1979188878576865,-2.071864995004577
4918,-2.2020289340801282,-2.1979188878576865,-2.1287802069423654
1640,-2.108208242346419,-2.1979188878576865,-2.152520643581693
1773,-2.1265708834896353,-2.1979188878576865,-2.0762172508952004
1609,-2.102473005953386,-2.1979188878576865,-2.076428401940805
1835,-2.1641641375892045,-2.1979188878576865,-2.0956277414479265
1690,-2.0710404781642575,-2.1979188878576865,-2.156215548867679
3287,-2.089159139414817,-2.1979188878576865,-2.1026749128784568
3302,-2.0714699221744732,-2.1979188878576865,-2.1183519010522263
1612,-2.0823015427077722,-2.1979188878576865,-2.1300623871905175
1613,-2.093522734717049,-2.1979188878576865,-2.2144068435579713
4836,-2.0980097013296524,-2.1979188878576865,-2.089494447165431
3284,-2.077060443553136,-2.1979188878576865,-2.1987169178430443
4797,-2.2463065529977113,-2.1979188878576865,-2.1987169178430443
1723,-2.0772021904914224,-2.1979188878576865,-2.215227023964519
1616,-2.139980551999801,-2.1979188878576865,-2.083450766891313
1722,-2.079478830948788,-2.1979188878576865,-2.1618857616722797
4934,-2.0796517854979326,-2.1979188878576865,-2.082553200856034
1625,-2.0772021904914224,-2.1979188878576865,-2.215227023964519
1626,-2.1077175080663837,-2.1979188878576865,-2.0814767548451103
1824,-2.079478830948788,-2.1979188878576865,-2.201408123568828
3296,-2.1258679774378892,-2.1979188878576865,-2.1919665702836513
1630,-2.38498949317441,-2.1979188878576865,-2.088792037912481
4806,-2.0980097013296524,-2.1979188878576865,-2.082007839690138
4833,-2.1077175080663837,-2.1979188878576865,-2.1451094422523225
1782,-2.139980551999801,-2.1979188878576865,-2.0871591468374655
4927,-2.296986535885323,-2.1979188878576865,-2.093685491723039
1785,-2.132723162051314,-2.1979188878576865,-2.07679662801785
3831,-2.140858452685774,-2.1979188878576865,-2.1339946568732246
4807,-2.0722332513491457,-2.1979188878576865,-2.0858659099034247
1637,-2.073437450045076,-2.1979188878576865,-2.153139475035448
4924,-2.2020289340801282,-2.1979188878576865,-2.07885189274072
1645,-2.0980097013296524,-2.1979188878576865,-2.1386165765836482
4795,-2.1822942578411313,-2.1979188878576865,-2.1602891726630906
5071,-2.079478830948788,-2.1979188878576865,-2.204493351196029
3799,-2.0796517854979326,-2.1979188878576865,-2.0718821840003416
5234,-2.132723162051314,-2.1979188878576865,-2.0956277414479265
1155,-2.2346365276931826,-2.1979188878576865,-2.107133120400257
5238,-2.073437450045076,-2.1979188878576865,-2.0765770279789466
3752,-2.140858452685774,-2.1979188878576865,-2.131890978700482
5242,-2.108208242346419,-2.1979188878576865,-2.0906421065493204
1145,-2.132723162051314,-2.1979188878576865,-2.086770476391684
1135,-2.0980097013296524,-2.1979188878576865,-2.0726180168329202
5253,-2.089159139414817,-2.1979188878576865,-2.1116954742152663
1128,-2.0750465822331217,-2.1979188878576865,-2.1577750247180907
1127,-2.1258679774378892,-2.1979188878576865,-2.1116954742152663
5257,-2.2020289340801282,-2.1979188878576865,-2.193826278040363
1118,-2.089159139414817,-2.1979188878576865,-2.1451094422523225
1117,-2.108208242346419,-2.1979188878576865,-2.0719389812176923
5260,-2.1200410638797687,-2.1979188878576865,-2.185739178820076
1111,-2.139980551999801,-2.1979188878576865,-2.2225951626484237
5261,-2.1641641375892045,-2.1979188878576865,-2.0755405218688514
1109,-2.1822942578411313,-2.1979188878576865,-2.117206787175811
1101,-2.1200410638797687,-2.1979188878576865,-2.105553231054693
3405,-2.0980097013296524,-2.1979188878576865,-2.1013684788669478
1162,-2.0825084208381712,-2.1979188878576865,-2.0793057732502644
5283,-2.1476399647288504,-2.1979188878576865,-2.1106360611965487
1163,-2.139980551999801,-2.1979188878576865,-2.1013684788669478
1168,-2.1139202574682576,-2.1979188878576865,-2.0722850765757324
1229,-2.077060443553136,-2.1979188878576865,-2.1821599654218327
5193,-2.0722332513491457,-2.1979188878576865,-2.1465630983586097
1219,-2.0796517854979326,-2.1979188878576865,-2.1919665702836513
1217,-2.108208242346419,-2.1979188878576865,-2.1821599654218327
3388,-2.1194151825236576,-2.1979188878576865,-2.1230752026106368
1209,-2.089159139414817,-2.1979188878576865,-2.191215254811106
5203,-2.0710404781642575,-2.1979188878576865,-2.0840331366520113
5205,-2.2020289340801282,-2.1979188878576865,-2.085494155770504
3389,-2.1077175080663837,-2.1979188878576865,-2.209218812417009
5210,-2.0710404781642575,-2.1979188878576865,-2.0734045979711544
1197,-2.0751594205352744,-2.1979188878576865,-2.1919665702836513
1195,-2.108208242346419,-2.1979188878576865,-2.2025535691166587
5217,-2.071434191771389,-2.1979188878576865,-2.0726180168329202
1185,-2.0823015427077722,-2.1979188878576865,-2.2164324615393136
5220,-2.258376723232815,-2.1979188878576865,-2.10323289846034
5222,-2.0735232612671703,-2.1979188878576865,-2.133207522402267
1178,-2.1200410638797687,-2.1979188878576865,-2.0865053894605223
1175,-2.191961112166097,-2.1979188878576865,-2.101744035510566
3394,-2.0857723126783307,-2.1979188878576865,-2.086125177470641
1166,-2.139980551999801,-2.1979188878576865,-2.0799691570945376
1232,-2.071434191771389,-2.1979188878576865,-2.094811103908053
5288,-2.1822942578411313,-2.1979188878576865,-2.075223569782948
1073,-2.108208242346419,-2.1979188878576865,-2.0718990733183746
5352,-2.1077175080663837,-2.1979188878576865,-2.2164324615393136
990,-2.1200410638797687,-2.1979188878576865,-2.1414068355065288
3739,-2.079478830948788,-2.1979188878576865,-2.144254252264889
5360,-2.072293499282851,-2.1979188878576865,-2.164155862434355
3735,-2.13350993876291,-2.1979188878576865,-2.170765412094437
971,-2.085528378499407,-2.1979188878576865,-2.071959384626992
3731,-2.1139202574682576,-2.1979188878576865,-2.1345383537448077
962,-2.0714699221744732,-2.1979188878576865,-2.07209368212641
961,-2.191961112166097,-2.1979188878576865,-2.0921352408380267
5380,-2.2233668074848323,-2.1979188878576865,-2.1366876137990287
956,-2.1200410638797687,-2.1979188878576865,-2.072839156894843
5388,-2.102904797196948,-2.1979188878576865,-2.073201843180258
944,-2.102904797196948,-2.1979188878576865,-2.207244684655808
943,-2.089159139414817,-2.1979188878576865,-2.084877411152889
938,-2.1557012195321574,-2.1979188878576865,-2.092446865382274
5399,-2.102473005953386,-2.1979188878576865,-2.1178834951179892
5400,-2.1557012195321574,-2.1979188878576865,-2.0722850765757324
930,-2.139980551999801,-2.1979188878576865,-2.08524070801463
5410,-2.0823015427077722,-2.1979188878576865,-2.1116954742152663
992,-2.0710523185687153,-2.1979188878576865,-2.140004561471401
5294,-2.0980097013296524,-2.1979188878576865,-2.0722413555399397
995,-2.139980551999801,-2.1979188878576865,-2.0718620802217584
999,-2.077060443553136,-2.1979188878576865,-2.113857149102256
5301,-2.13350993876291,-2.1979188878576865,-2.096458658301306
1070,-2.079478830948788,-2.1979188878576865,-2.160936856012582
5303,-2.0710404781642575,-2.1979188878576865,-2.109590930813769
1063,-2.085528378499407,-2.1979188878576865,-2.0794951764089182
1056,-2.1265708834896353,-2.1979188878576865,-2.122583614837878
3406,-2.132723162051314,-2.1979188878576865,-2.0906421065493204
1045,-2.0710404781642575,-2.1979188878576865,-2.0793057732502644
3410,-2.1557012195321574,-2.1979188878576865,-2.1949374808765656
1042,-2.139980551999801,-2.1979188878576865,-2.139437728646553
1036,-2.1200410638797687,-2.1979188878576865,-2.167432046829661
3416,-2.1194151825236576,-2.1979188878576865,-2.0718821840003416
3417,-2.1200410638797687,-2.1979188878576865,-2.108143881945206
1022,-2.0772021904914224,-2.1979188878576865,-2.152520643581693
1020,-2.113364963443682,-2.1979188878576865,-2.1717655086760788
1014,-2.0710404781642575,-2.1979188878576865,-2.1004576911449098
1010,-2.108208242346419,-2.1979188878576865,-2.180391808682818
5345,-2.0931936280054435,-2.1979188878576865,-2.083450766891313
5346,-2.102904797196948,-2.1979188878576865,-2.102293547900101
1000,-2.085528378499407,-2.1979188878576865,-2.119511299275204
996,-2.0825084208381712,-2.1979188878576865,-2.089494447165431
1233,-2.0857723126783307,-2.1979188878576865,-2.150120569431185
3761,-2.13350993876291,-2.1979188878576865,-2.081789319638692
5185,-2.108208242346419,-2.1979188878576865,-2.129300753055138
5031,-2.1200410638797687,-2.1979188878576865,-2.1408342210777915
1447,-2.0823015427077722,-2.1979188878576865,-2.119511299275204
5033,-2.073437450045076,-2.1979188878576865,-2.082553200856034
1443,-2.0823015427077722,-2.1979188878576865,-2.1408342210777915
1442,-2.0931936280054435,-2.1979188878576865,-2.0719931633697266
1433,-2.0751594205352744,-2.1979188878576865,-2.157138878909472
