Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
Female,31,1,15,1,< 1 Year,No,37210,152,267,0
Female,24,1,12,1,< 1 Year,No,19992,152,207,0
Female,30,1,46,1,< 1 Year,No,33556,152,233,0
Male,31,1,28,0,< 1 Year,Yes,33539,163,214,0
Female,53,1,18,1,1-2 Year,No,41565,60,276,0
Female,28,1,47,0,< 1 Year,Yes,32645,152,43,0
Male,46,1,47,0,1-2 Year,Yes,27962,26,198,0
Male,22,1,16,1,< 1 Year,No,23402,152,202,0
Female,56,1,28,0,> 2 Years,Yes,33135,26,150,0
Female,39,1,28,0,1-2 Year,Yes,37364,26,170,0
Female,39,1,28,0,1-2 Year,Yes,2630,157,198,0
Male,63,1,45,0,1-2 Year,Yes,2630,160,91,0
Female,26,1,50,1,< 1 Year,No,41985,152,171,0
Female,23,1,34,1,< 1 Year,No,35638,152,131,0
Male,22,1,37,0,< 1 Year,Yes,31763,152,176,0
Male,25,1,6,1,< 1 Year,No,18279,160,96,0
Male,42,1,28,0,1-2 Year,Yes,34692,36,22,0
Male,23,1,6,1,< 1 Year,No,16431,152,237,0
Female,45,1,8,1,1-2 Year,No,44267,124,240,0
Female,28,1,8,1,< 1 Year,No,2630,152,57,0
Female,23,1,39,1,< 1 Year,No,38413,152,256,0
Male,71,1,8,0,1-2 Year,Yes,48719,26,48,0
Female,21,1,8,0,< 1 Year,Yes,69958,152,279,0
Male,72,1,14,0,1-2 Year,Yes,35857,124,114,0
Male,37,1,29,0,1-2 Year,Yes,37905,154,59,0
Male,71,1,28,1,1-2 Year,No,40845,124,63,0
Female,28,1,16,1,< 1 Year,No,35743,152,91,0
Male,51,1,50,0,1-2 Year,Yes,42164,116,52,0
Male,22,1,50,1,< 1 Year,No,24783,152,218,0
Male,23,1,33,1,< 1 Year,No,22765,152,134,0
Female,25,1,2,1,< 1 Year,No,35240,152,15,0
Female,38,1,8,0,1-2 Year,Yes,34122,124,201,0
Male,67,1,23,1,1-2 Year,No,34177,26,196,0
Female,20,1,36,1,< 1 Year,No,33187,160,84,0
Female,51,1,28,0,1-2 Year,Yes,75474,55,109,0
Male,32,1,47,0,< 1 Year,No,29348,152,253,0
Male,51,1,28,1,1-2 Year,Yes,55233,26,295,0
Female,24,1,50,1,< 1 Year,No,32973,152,198,0
Male,25,1,15,1,< 1 Year,No,28057,152,80,0
Female,59,1,28,1,1-2 Year,Yes,42684,26,166,0
Female,64,1,12,0,1-2 Year,Yes,34590,124,159,0
Male,22,1,21,1,< 1 Year,No,23256,152,57,0
Female,24,1,29,1,< 1 Year,No,46415,152,14,0
Male,63,1,28,1,1-2 Year,No,32282,124,94,0
Female,26,1,28,0,1-2 Year,Yes,2630,156,156,0
Male,66,1,6,0,1-2 Year,Yes,25471,26,12,0
Female,30,1,18,1,< 1 Year,No,33614,152,295,0
Female,69,1,35,0,1-2 Year,Yes,39837,26,55,0
Female,21,1,26,0,< 1 Year,Yes,38880,160,263,0
Male,27,1,41,1,< 1 Year,No,32127,152,110,0
Male,40,1,8,0,1-2 Year,Yes,22223,124,28,0
Male,21,1,37,0,< 1 Year,Yes,28773,160,115,0
Male,65,1,28,1,1-2 Year,No,35628,124,173,0
Male,69,1,28,0,1-2 Year,Yes,41506,122,43,0
Female,59,1,14,0,1-2 Year,Yes,2630,160,153,0
Female,26,1,28,0,1-2 Year,Yes,34565,122,219,0
Female,28,1,8,1,< 1 Year,No,40878,151,178,0
Male,55,1,11,0,> 2 Years,Yes,41813,124,293,0
Female,44,1,28,0,1-2 Year,Yes,43426,26,26,0
Female,53,1,28,0,1-2 Year,Yes,27918,124,274,0
Female,38,1,45,1,1-2 Year,No,31018,122,118,0
Female,44,1,30,1,1-2 Year,No,2630,26,142,0
Male,44,1,48,0,1-2 Year,Yes,2630,26,236,0
Male,65,1,33,1,1-2 Year,No,31773,8,158,0
Female,68,1,8,0,> 2 Years,Yes,2630,26,178,0
Female,41,1,28,1,1-2 Year,No,30540,124,122,0
Female,22,1,43,0,< 1 Year,Yes,29706,152,17,0
Male,75,1,8,0,1-2 Year,No,2630,52,283,0
Female,48,1,12,0,1-2 Year,Yes,2630,124,291,0
Male,58,1,6,1,1-2 Year,No,2630,26,194,0
Female,22,1,49,0,< 1 Year,Yes,33907,152,214,0
Male,41,1,41,0,1-2 Year,Yes,2630,136,207,0
Male,57,1,46,1,1-2 Year,No,27984,26,85,0
Male,23,1,30,1,< 1 Year,No,33307,152,226,0
Female,28,1,6,1,< 1 Year,No,19370,152,66,0
Female,36,1,28,1,1-2 Year,No,26230,124,169,0
Male,26,1,41,1,< 1 Year,No,25237,152,70,0
Male,46,1,28,0,1-2 Year,Yes,2630,26,142,0
Male,45,1,1,1,1-2 Year,No,2630,124,113,0
Male,49,1,28,0,1-2 Year,No,48401,26,65,0
Female,25,1,21,1,< 1 Year,No,27873,152,145,0
Female,60,1,28,1,1-2 Year,No,33460,26,260,0
Female,36,1,10,1,1-2 Year,No,29953,152,178,0
Female,27,1,45,1,< 1 Year,No,33429,152,255,0
Male,47,1,1,1,1-2 Year,No,2630,26,297,0
Male,23,1,8,1,< 1 Year,No,2630,152,51,0
Male,25,1,50,1,< 1 Year,No,37032,152,154,0
Male,23,1,15,1,< 1 Year,No,33700,152,267,0
Male,23,1,46,1,< 1 Year,No,32718,152,290,0
Female,45,1,8,1,1-2 Year,No,33930,124,77,0
Female,33,1,35,1,< 1 Year,No,2630,152,73,0
Male,27,1,8,1,< 1 Year,No,39193,152,121,0
Female,23,1,21,0,< 1 Year,Yes,26637,152,294,0
Female,48,1,18,0,1-2 Year,Yes,30247,26,276,0
Male,57,1,30,1,1-2 Year,No,29323,124,204,0
Female,75,1,26,1,1-2 Year,No,35026,120,110,0
Female,54,1,28,0,1-2 Year,Yes,32647,124,256,0
Male,47,1,50,1,1-2 Year,No,45658,8,220,0
Female,51,1,15,1,1-2 Year,No,2630,14,290,0
Male,41,1,39,0,1-2 Year,No,32530,124,170,0
Female,24,1,11,0,< 1 Year,No,33232,152,92,0
Female,43,1,28,0,1-2 Year,Yes,2630,160,231,0
Female,22,1,25,0,< 1 Year,Yes,35395,152,146,0
Female,36,1,28,0,1-2 Year,No,43847,13,182,0
Female,21,1,36,0,< 1 Year,No,36469,160,229,0
Female,26,1,28,1,< 1 Year,No,21241,26,128,0
Female,80,1,48,1,1-2 Year,No,2630,15,38,0
Female,78,1,18,1,1-2 Year,Yes,32880,124,96,0
Female,24,1,41,1,< 1 Year,No,57799,152,76,0
Female,24,1,15,1,< 1 Year,No,37395,152,92,0
Female,28,1,32,1,< 1 Year,No,35056,152,126,0
Male,46,1,47,1,1-2 Year,No,26730,26,262,0
Male,60,1,28,1,1-2 Year,No,48512,26,240,0
Male,62,1,28,1,1-2 Year,No,51267,122,35,0
Male,33,1,15,0,1-2 Year,Yes,50990,124,265,0
Male,51,1,28,0,> 2 Years,Yes,31309,26,49,0
Female,75,1,46,1,1-2 Year,No,35353,4,65,0
Male,43,1,1,0,1-2 Year,Yes,2630,124,232,0
Male,40,1,3,0,1-2 Year,Yes,26337,152,83,0
Female,24,1,45,1,< 1 Year,No,24365,160,94,0
Male,67,1,28,1,1-2 Year,Yes,40915,124,77,0
Female,38,1,3,0,1-2 Year,Yes,34092,124,138,0
Female,22,1,30,1,< 1 Year,No,35879,152,75,0
Female,21,1,11,1,< 1 Year,No,33192,152,73,0
Female,33,1,1,0,< 1 Year,Yes,2630,152,154,0
Male,38,1,8,1,1-2 Year,No,41413,124,16,0
Female,27,1,33,1,< 1 Year,No,30640,152,55,0
Female,20,1,12,0,< 1 Year,Yes,35229,160,255,0
Male,22,1,17,1,< 1 Year,No,56201,152,294,0
Male,25,1,49,1,< 1 Year,No,27784,152,111,0
Female,38,1,41,0,1-2 Year,Yes,46588,109,159,0
Male,29,1,28,1,< 1 Year,No,28791,152,227,0
Male,43,1,8,0,1-2 Year,Yes,34376,26,137,0
Male,44,1,18,1,1-2 Year,No,25906,131,27,0
Female,22,1,24,0,< 1 Year,Yes,33138,152,83,0
Male,57,1,50,1,1-2 Year,No,2630,124,222,0
Male,20,1,8,0,< 1 Year,No,33618,160,80,0
Male,35,1,9,0,> 2 Years,Yes,36619,26,33,0
Female,25,1,41,1,< 1 Year,No,23231,152,156,0
Male,58,1,28,1,1-2 Year,No,48087,122,112,0
Female,21,1,25,0,< 1 Year,Yes,2630,160,179,0
Male,62,1,14,0,1-2 Year,Yes,2630,124,88,0
Female,20,1,15,0,< 1 Year,Yes,32642,160,161,0
Female,22,1,24,1,< 1 Year,No,42986,152,119,0
Female,26,1,28,1,< 1 Year,No,60342,152,149,0
Male,47,1,8,0,1-2 Year,Yes,29031,124,293,0
Female,37,1,35,1,1-2 Year,No,17374,152,157,0
Male,35,1,28,0,1-2 Year,No,2630,150,131,0
Female,23,1,32,0,< 1 Year,Yes,2630,152,154,0
Male,28,1,39,1,< 1 Year,No,31231,152,256,0
Female,26,1,4,1,< 1 Year,No,20611,152,134,0
Female,24,1,29,1,< 1 Year,No,51266,152,115,0
Male,39,1,45,1,1-2 Year,No,26597,124,281,0
Male,21,1,28,0,< 1 Year,Yes,52761,156,218,0
Male,51,1,28,0,1-2 Year,Yes,27897,26,269,0
Female,52,1,31,1,1-2 Year,No,2630,9,134,0
Female,28,1,26,1,< 1 Year,No,30284,152,194,0
Male,31,1,13,0,< 1 Year,Yes,2630,156,70,0
Female,22,1,46,1,< 1 Year,No,32489,152,214,0
Female,26,1,28,0,< 1 Year,Yes,30971,152,289,0
Female,25,1,11,1,< 1 Year,No,2630,152,55,0
Female,25,1,11,1,< 1 Year,No,34974,152,181,0
Male,68,1,28,0,1-2 Year,Yes,39310,124,276,0
Female,64,1,50,1,1-2 Year,No,35329,30,259,0
Female,24,1,27,0,< 1 Year,Yes,26132,152,44,0
Male,31,1,18,1,< 1 Year,No,36572,152,243,0
Female,25,1,11,1,< 1 Year,No,37513,152,37,0
Male,45,1,28,0,1-2 Year,Yes,34013,26,276,0
Male,40,1,46,0,1-2 Year,Yes,30874,152,25,0
Male,25,1,30,1,< 1 Year,No,2630,152,163,0
Male,23,1,6,1,< 1 Year,No,29436,152,93,0
Female,25,1,50,1,< 1 Year,No,21998,152,249,0
Female,75,1,11,0,1-2 Year,Yes,31011,124,156,0
Male,23,1,8,1,< 1 Year,No,30232,152,124,0
Male,80,1,48,0,> 2 Years,Yes,2630,26,170,0
Female,24,1,28,1,< 1 Year,No,33942,152,33,0
Female,23,1,45,1,< 1 Year,No,24304,152,296,0
Female,68,1,41,0,1-2 Year,Yes,2630,124,34,0
Female,29,1,28,1,< 1 Year,No,45958,152,265,0
Male,23,1,11,1,< 1 Year,No,22132,152,234,0
Male,77,1,28,0,1-2 Year,Yes,64490,25,101,0
Female,42,1,28,0,1-2 Year,Yes,31523,124,188,0
Female,37,1,28,0,1-2 Year,Yes,32941,26,190,0
Male,23,1,49,0,< 1 Year,Yes,32551,152,13,0
Male,47,1,36,0,1-2 Year,Yes,32162,156,228,0
Male,48,1,8,0,1-2 Year,Yes,42098,30,255,0
Female,28,1,6,1,< 1 Year,No,23938,152,35,0
Male,52,1,28,0,1-2 Year,Yes,31577,26,210,0
Female,25,1,21,1,< 1 Year,No,25690,152,205,0
Male,28,1,13,1,< 1 Year,No,29800,160,31,0
Male,65,1,28,0,1-2 Year,Yes,36453,124,296,0
Female,44,1,8,0,1-2 Year,Yes,34671,124,49,0
Male,50,1,46,0,1-2 Year,No,2630,26,17,0
Female,22,1,11,0,< 1 Year,Yes,18741,152,271,0
Female,23,1,28,0,< 1 Year,Yes,56917,26,210,0
Male,45,1,28,0,1-2 Year,Yes,2630,124,70,0
Male,25,1,8,0,< 1 Year,Yes,36549,152,115,0
Female,41,1,28,0,1-2 Year,No,32870,124,117,0
Male,28,1,18,1,< 1 Year,No,23356,152,200,0
Female,23,1,29,1,< 1 Year,No,25411,152,146,0
Male,30,1,41,1,< 1 Year,No,38346,152,139,0
Male,23,1,25,1,< 1 Year,No,25136,160,112,0
Male,30,1,28,0,< 1 Year,Yes,39993,124,188,0
Male,26,1,28,0,< 1 Year,Yes,45560,152,169,0
Female,36,1,46,1,1-2 Year,No,29188,155,220,0
Male,22,1,47,0,< 1 Year,Yes,37363,152,12,0
Female,23,1,41,1,< 1 Year,Yes,26645,152,135,0
Male,24,1,8,0,< 1 Year,Yes,29924,152,248,0
Female,53,1,33,1,1-2 Year,No,26807,26,48,0
Female,27,1,41,1,< 1 Year,No,30671,152,151,0
Male,45,1,48,1,1-2 Year,No,2630,124,243,0
Female,23,1,8,0,< 1 Year,Yes,33140,152,257,0
Male,39,1,28,0,1-2 Year,Yes,33039,124,56,0
Female,52,1,28,0,1-2 Year,Yes,42367,26,36,0
Female,35,1,36,0,1-2 Year,Yes,27926,124,200,0
Male,24,1,46,1,< 1 Year,No,31897,152,225,0
Female,25,1,7,0,< 1 Year,Yes,2630,160,137,0
Male,60,1,8,0,1-2 Year,Yes,29834,26,130,0
Female,29,1,50,1,< 1 Year,No,32836,152,140,0
Female,36,1,45,1,1-2 Year,No,21631,124,280,0
Female,23,1,30,1,< 1 Year,No,25232,152,297,0
Female,57,1,28,0,1-2 Year,Yes,57284,26,219,0
Female,22,1,5,0,< 1 Year,Yes,34126,152,58,0
Female,45,1,28,0,1-2 Year,Yes,2630,124,144,0
Female,55,1,28,0,1-2 Year,Yes,39738,124,130,0
Female,47,1,28,0,1-2 Year,Yes,2630,124,55,0
Male,44,1,33,1,1-2 Year,No,33867,154,186,0
Male,24,1,41,1,< 1 Year,No,58554,152,88,0
Male,25,1,18,1,< 1 Year,No,30470,152,87,0
Female,50,1,45,0,1-2 Year,Yes,41745,152,135,0
Female,72,1,28,1,1-2 Year,No,35053,122,11,0
Female,27,1,28,0,< 1 Year,Yes,44728,26,89,0
Female,23,1,3,1,< 1 Year,No,34429,152,57,0
Male,56,1,28,0,1-2 Year,Yes,36210,26,129,0
Female,67,1,46,0,1-2 Year,Yes,39821,26,16,0
Male,25,1,8,1,< 1 Year,No,37586,160,190,0
Female,28,1,14,1,< 1 Year,No,25315,152,99,0
Male,30,1,28,0,< 1 Year,No,2630,1,145,0
Female,66,1,30,1,1-2 Year,No,23237,152,271,0
Female,39,1,14,0,1-2 Year,No,2630,124,63,0
Female,62,1,46,0,1-2 Year,Yes,25666,26,66,0
Female,25,1,37,1,< 1 Year,No,27578,152,204,0
Male,24,1,14,1,< 1 Year,No,22976,152,241,0
Male,34,1,28,1,1-2 Year,No,49113,152,204,0
Male,57,1,13,1,1-2 Year,No,2630,124,213,0
Female,28,1,24,1,< 1 Year,Yes,27360,152,216,0
Female,52,1,28,0,> 2 Years,Yes,32412,124,93,0
Female,30,1,47,0,< 1 Year,Yes,36445,152,122,0
Male,67,1,28,0,1-2 Year,Yes,44144,122,249,0
Female,24,1,11,1,< 1 Year,No,31497,152,75,0
Female,33,1,15,0,1-2 Year,Yes,2630,157,292,0
Male,62,1,8,0,1-2 Year,Yes,41267,80,245,0
Female,24,1,25,1,< 1 Year,No,2630,152,52,0
Female,23,1,28,0,< 1 Year,No,79603,152,249,0
